Name,Matrix Size,Block Size,Time,L1_DCM,L2_DCM,L1_Hits,L2_Hits
Standard,600,-,0.21663,30823401,27148632,6.11541e+08,6.20821e+08
Standard,1000,-,1.14224,1147752853,128345593,2.88522e+09,2.87016e+09
Standard,1400,-,3.58714,3195076986,364005638,8.23592e+09,8.19991e+09
Standard,1800,-,9.47375,7679761179,774813329,1.74622e+10,1.74550e+10
Standard,2200,-,33.0664,16322970481,1382096496,3.19477e+10,3.19467e+10
Standard,2600,-,75.7504,29387045766,2283855261,5.27813e+10,5.27794e+10
Standard,3000,-,133.995,48893238790,3565070285,8.10067e+10,8.10035e+10
Element-Line,600,-,0.092588,27205329,27165512,6.11574e+08,6.11591e+08
Element-Line,1000,-,0.570188,126330716,126243580,2.88737e+09,2.88745e+09
Element-Line,1400,-,1.89181,347575699,339229850,8.23824e+09,8.23905e+09
Element-Line,1800,-,3.91954,747432785,710510557,1.74675e+10,1.74711e+10
Element-Line,2200,-,6.73555,1363275085,1299405487,3.19487e+10,3.19533e+10
Element-Line,2600,-,10.6887,2297403314,2150542749,5.27817e+10,5.27912e+10
Element-Line,3000,-,17.2268,3659229178,3314045696,8.10067e+10,8.10118e+10
Element-Line,4096,-,43.5042,10641276116,8389605477,2.05887e+11,2.05914e+11
Element-Line,6144,-,144.025,58034549845,28246816529,6.93405e+11,6.93432e+11
Element-Line,8192,-,339.377,137789706959,66988712298,1.65150e+12,1.65157e+12
Element-Line,10240,-,632.207,269057490907,131338174326,3.22123e+12,3.22135e+12
Block,600,128,0.150235,28966431,873389,6.11558e+08,6.20834e+08
Block,1000,128,0.729284,134223481,4462058,2.88658e+09,2.88956e+09
Block,1400,128,1.99183,367116319,12872977,8.23785e+09,8.23934e+09
Block,1800,128,4.55348,779043499,26979418,1.74643e+10,1.74714e+10
Block,2200,128,7.92247,1404894983,47849986,3.19481e+10,3.19517e+10
Block,2600,128,12.7079,2317665019,86983311,5.27816e+10,5.27905e+10
Block,3000,128,19.0967,3633167432,120854993,8.10068e+10,8.10196e+10
Block,4096,128,135.854,69986196066,63602726987,2.05887e+11,2.05914e+11
Block,6144,128,457.708,236533738036,205424543741,6.93405e+11,6.93432e+11
Block,8192,128,1253.83,576116966273,556208954978,1.65150e+12,1.65157e+12
Block,10240,128,2155.72,1094598665816,968278970803,3.22123e+12,3.22135e+12
Block,600,256,0.1722,28367096,743047,6.11554e+08,6.20834e+08
Block,1000,256,0.801994,130745412,3354626,2.88693e+09,2.88946e+09
Block,1400,256,2.25946,360025694,10635441,8.23784e+09,8.23934e+09
Block,1800,256,4.89013,759922222,19679270,1.74643e+10,1.74714e+10
Block,2200,256,9.04509,1398121100,37339543,3.19481e+10,3.19517e+10
Block,2600,256,14.5223,2311608750,74654859,5.27816e+10,5.27905e+10
Block,3000,256,22.5788,3548453000,97584769,8.10068e+10,8.10196e+10
Block,4096,256,150.615,69835781275,68403240083,2.05887e+11,2.05914e+11
Block,6144,256,501.485,234412347465,231255749537,6.93405e+11,6.93432e+11
Block,8192,256,6565.75,577467344771,565825954037,1.65150e+12,1.65157e+12
Block,10240,256,2836.79,1085147915977,1075794768100,3.22123e+12,3.22135e+12
Block,600,512,0.189964,28418294,19096511,6.11554e+08,6.20834e+08
Block,1000,512,0.943713,130098791,101675105,2.88699e+09,2.88983e+09
Block,1400,512,2.47282,366215487,278815475,8.23778e+09,8.23934e+09
Block,1800,512,5.21884,797490849,562785254,1.74639e+10,1.74714e+10
Block,2200,512,9.49648,1432266395,1141635717,3.19476e+10,3.19517e+10
Block,2600,512,15.5574,2327847025,2117534664,5.27811e+10,5.27905e+10
Block,3000,512,23.704,3521640118,3223912162,8.10068e+10,8.10196e+10
Block,4096,512,306.22,69433101921,68055376585,2.05887e+11,2.05914e+11
Block,6144,512,470.547,233682069639,231284336773,6.93405e+11,6.93432e+11
Block,8192,512,6279.87,564355077608,556805285909,1.65150e+12,1.65157e+12
Block,10240,512,2891.58,1081946225374,1078016661877,3.22123e+12,3.22135e+12
