Name,Matrix Size,Time,L1_DCM,L2_DCM,L1_Hits,L2_Hits,MFlops,Speedup,Efficiency
Parallel 1,600,0.0496975,3482743,3009886,6.44517e+08,6.4499e+08,8692.6,7.62944,0.95368
Parallel 1,1000,0.150431,14653648,11743459,2.98535e+09,2.98826e+09,13295.2,5.69271,0.711589
Parallel 1,1400,0.484132,32429205,28632208,8.19957e+09,8.20337e+09,11335.8,5.25393,0.656741
Parallel 1,1800,1.21233,139352064,86868770,1.73566e+10,1.74091e+10,9621.12,4.16155,0.520194
Parallel 1,2200,2.2438,304201881,162736378,3.16398e+10,3.17813e+10,9491.03,3.86324,0.482905
Parallel 1,2600,3.26986,534907792,258075473,5.21931e+10,5.24699e+10,10750.3,4.34475,0.543093
Parallel 1,3000,5.14158,841117890,409172726,8.01589e+10,8.05908e+10,10502.6,4.15508,0.519385
Parallel 1,4096,13.5509,2135664308,1025571607,2.04023e+11,2.05133e+11,10142.4,4.04965,0.506207
Parallel 1,6144,46.9845,7254388608,3472117912,6.8853e+11,6.92313e+11,9872.55,3.8711,0.483888
Parallel 1,8192,112.56,17218705634,8256191100,1.63205e+12,1.64101e+12,9768.2,3.84755,0.480944
Parallel 1,10240,256.7,33646688598,15988251666,3.18758e+12,3.20524e+12,8365.74,3.3183,0.414788
Parallel 2,600,0.2554,6041573,4300632,6.41958e+08,6.43699e+08,1691.46,1.6411,0.205138
Parallel 2,1000,0.807014,22220459,26662332,2.97778e+09,2.97334e+09,2478.27,1.14499,0.143124
Parallel 2,1400,2.68678,59922724,70338639,8.17208e+09,8.16166e+09,2042.59,0.959032,0.119879
Parallel 2,1800,5.37958,116985167,135821283,1.7379e+10,1.73602e+10,2168.2,0.934522,0.116815
Parallel 2,2200,5.67585,205172328,230335994,3.17388e+10,3.17137e+10,3752.04,1.50942,0.188678
Parallel 2,2600,8.48446,325064520,359045358,5.24029e+10,5.2369e+10,4143.1,1.64732,0.205915
Parallel 2,3000,12.0947,503381260,562118014,8.04966e+10,8.04379e+10,4464.78,1.74092,0.217615
Parallel 2,4096,29.1629,1210785030,1277187788,2.04948e+11,2.04881e+11,4712.81,1.84616,0.230769
Parallel 2,6144,91.1142,4015363957,4060937562,6.91769e+11,6.91724e+11,5090.93,2.0238,0.252975
Parallel 2,8192,211.508,9410353393,9358005355,1.63986e+12,1.63991e+12,5198.43,2.16171,0.270214
Parallel 2,10240,342.579,19271632943,17586106583,3.22123e+12,3.22135e+12,6268.57,2.34567,0.293209
